GEO_ID,NAME,P1_001N
1500000US421010001011,"Block Group 1, Census Tract 1.01, Philadelphia County, Pennsylvania",26
1500000US421010001012,"Block Group 2, Census Tract 1.01, Philadelphia County, Pennsylvania",0
1500000US421010001013,"Block Group 3, Census Tract 1.01, Philadelphia County, Pennsylvania",0
1500000US421010001014,"Block Group 4, Census Tract 1.01, Philadelphia County, Pennsylvania",1340
1500000US421010001015,"Block Group 5, Census Tract 1.01, Philadelphia County, Pennsylvania",963
1500000US421010001021,"Block Group 1, Census Tract 1.02, Philadelphia County, Pennsylvania",1374
1500000US421010001022,"Block Group 2, Census Tract 1.02, Philadelphia County, Pennsylvania",17
1500000US421010001023,"Block Group 3, Census Tract 1.02, Philadelphia County, Pennsylvania",888
1500000US421010001024,"Block Group 4, Census Tract 1.02, Philadelphia County, Pennsylvania",577
1500000US421010001025,"Block Group 5, Census Tract 1.02, Philadelphia County, Pennsylvania",655
1500000US421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2213
1500000US421010002002,"Block Group 2, Census Tract 2, Philadelphia County, Pennsylvania",586
1500000US421010002003,"Block Group 3, Census Tract 2, Philadelphia County, Pennsylvania",534
1500000US421010002004,"Block Group 4, Census Tract 2, Philadelphia County, Pennsylvania",34
1500000US421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",1344
1500000US421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",222
1500000US421010003003,"Block Group 3, Census Tract 3, Philadelphia County, Pennsylvania",1096
1500000US421010003004,"Block Group 4, Census Tract 3, Philadelphia County, Pennsylvania",751
1500000US421010003005,"Block Group 5, Census Tract 3, Philadelphia County, Pennsylvania",1088
1500000US421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",1314
1500000US421010004012,"Block Group 2, Census Tract 4.01, Philadelphia County, Pennsylvania",760
1500000US421010004013,"Block Group 3, Census Tract 4.01, Philadelphia County, Pennsylvania",1049
1500000US421010004031,"Block Group 1, Census Tract 4.03, Philadelphia County, Pennsylvania",20
