original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"1022 Baltimore Pike, Springfield, PA 19064",39.914296025294,-75.34239499869332,"1022 Baltimore Pike, Springfield Township, PA 19064, United States of America",,1022,Baltimore Pike,,19064,,Springfield Township,Delaware County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1075 W Baltimore Pike Suite A, Media, PA 19063",39.915444,-75.425707,"1011 West Baltimore Pike, Media, PA 19063, United States of America",,1011,West Baltimore Pike,,19063,Middletown Township,Media,Delaware County,Pennsylvania,PA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1115 West Chester Pike, West Chester, PA 19382",39.96922372091308,-75.57057833202377,"1115 West Chester Pike, West Goshen Township, PA 19382, United States of America",,1115,West Chester Pike,,19382,Goshen Terrace Apartments,West Goshen Township,Chester County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"116 Township Line Rd Suite 210, Havertown, PA 19083",39.9664558,-75.3001292,"Santander, 116 Township Line Road, Haverford Township, PA 19083, United States of America",Santander,116,Township Line Road,,19083,,Haverford Township,Delaware County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1240 NJ-33, Hamilton Township, NJ 08690",40.228272,-74.665931,"NJ 33, Hamilton Square, NJ 08690, United States of America",,,NJ 33,,08690,Hamilton Township,Hamilton Square,Mercer County,New Jersey,NJ,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"139 N West End Blvd, Quakertown, PA 18951",40.44469436281593,-75.35876361269735,"139 North West End Boulevard, Quakertown, PA 18951, United States of America",,139,North West End Boulevard,,18951,,Quakertown,Bucks County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"150 Allendale Rd, King of Prussia, PA 19406",40.08933176846967,-75.38276283108466,"150 Allendale Road, Upper Merion Township, PA 19406, United States of America",,150,Allendale Road,King of Prussia Mall,19406,,Upper Merion Township,Montgomery County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"151 Swedesford Rd, Exton, PA 19341",40.033981,-75.627734,"151 East Swedesford Road, West Whiteland Township, PA 19341, United States of America",,151,East Swedesford Road,,19341,West Whiteland Township,West Whiteland Township,Chester County,Pennsylvania,PA,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
"152 E Street Rd, Feasterville-Trevose, PA 19053",40.1527199,-75.0058528,"Street Road, Lower Southampton Township, PA 18974, United States of America",Street Road,,Street Road,,18974,,Lower Southampton Township,Bucks County,Pennsylvania,PA,United States,us,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1521 N Main St, Warrington, PA 18976",40.23121,-75.136119,"1521 Main Street, Warrington Township, PA 18976, United States of America",,1521,Main Street,Valley Square,18976,Warrington Township,Warrington Township,Bucks County,Pennsylvania,PA,United States,us,0.9,1,0.9,© OpenAddresses contributors,BSD-3-Clause License,
"1641 The Fairway, Jenkintown, PA 19046",40.106848975655325,-75.11608852066321,"1641 The Fairway, Abington Township, PA 19046, United States of America",,1641,The Fairway,,19046,,Abington Township,Montgomery County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1991 Sproul Road, Reed Rd at, Broomall, PA 19008",39.9631356,-75.3574295,"1991 Sproul Road, Broomall, PA 19008, United States of America",,1991,Sproul Road,,19008,Marple Township,Broomall,Delaware County,Pennsylvania,PA,United States,us,1,1,1,,,
"200 S 40th St, Philadelphia, PA 19104",39.952861,-75.20296,"200 South 40th Street, Philadelphia, PA 19104, United States of America",,200,South 40th Street,,19104,,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"21 Arpt Sq Rd, North Wales, PA 19454",40.23834,-75.239731,"21 Airport Square, North Wales, PA 19454, United States of America",,21,Airport Square,,19454,Montgomery Township,North Wales,Montgomery County,Pennsylvania,PA,United States,us,0.3968999999999999,1,0.3968999999999999,© OpenAddresses contributors,BSD-3-Clause License,
"2311 Concord Pike, Wilmington, DE 19803",39.79187980281849,-75.54659419065636,"2311 Concord Pike, Fairfax Farms, DE 19803, United States of America",,2311,Concord Pike,,19803,,Fairfax Farms,New Castle County,Delaware,DE,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2605 Street Rd, Bensalem, PA 19020",40.10860877783759,-74.9523037577047,"2605 Street Road, Bensalem Township, PA 19020, United States of America",,2605,Street Road,,19020,,Bensalem Township,Bucks County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
