cafe_id,cafe_address,cafe_lon,cafe_lat
1,"1022 Baltimore Pike, Springfield, PA 19064",-75.3424,39.9143
2,"1075 W Baltimore Pike Suite A, Media, PA 19063",-75.4257,39.91544
3,"1115 West Chester Pike, West Chester, PA 19382",-75.5706,39.96922
4,"116 Township Line Rd Suite 210, Havertown, PA 19083",-75.3001,39.96646
5,"1240 NJ-33, Hamilton Township, NJ 08690",-74.6659,40.22827
6,"139 N West End Blvd, Quakertown, PA 18951",-75.3588,40.44469
7,"150 Allendale Rd, King of Prussia, PA 19406",-75.3828,40.08933
8,"151 Swedesford Rd, Exton, PA 19341",-75.6277,40.03398
9,"152 E Street Rd, Feasterville-Trevose, PA 19053",-75.0059,40.15272
10,"1521 N Main St, Warrington, PA 18976",-75.1361,40.23121
11,"1641 The Fairway, Jenkintown, PA 19046",-75.1161,40.10685
12,"1991 Sproul Road, Reed Rd at, Broomall, PA 19008",-75.3574,39.96314
13,"200 S 40th St, Philadelphia, PA 19104",-75.203,39.95286
14,"21 Arpt Sq Rd, North Wales, PA 19454",-75.2397,40.23834
15,"2311 Concord Pike, Wilmington, DE 19803",-75.5466,39.79188
16,"2605 Street Rd, Bensalem, PA 19020",-74.9523,40.10861
17,"267 Swedesford Rd, Wayne, PA 19087",-75.4139,40.07784
18,"278 E Lancaster Ave, Wynnewood, PA 19096",-75.2824,40.00349
19,"30 Park Ave, Willow Grove, PA 19090",-75.1191,40.14299
20,"3554 West Chester Pike Unit 14, Newtown Square, PA 19073",-75.3936,39.98514
21,"3650 Kirkwood Hwy, Wilmington, DE 19808",-75.638,39.73412
22,"375 Marketplace Blvd, Hamilton Township, NJ 08691",-74.6363,40.19957
23,"3900 City Ave, Philadelphia, PA 19131",-75.2106,40.00855
24,"42 Ridge Pike, Conshohocken, PA 19428",-75.2814,40.09312
25,"48 N 12th St, Philadelphia, PA 19107",-75.1597,39.95323
26,"51 Town Center Dr Suite 2, Collegeville, PA 19426",-75.4789,40.1661
27,"5619 Concord Pike, Wilmington, DE 19803",-75.5436,39.83213
28,"601 S Trooper Rd, Audubon, PA 19403",-75.4048,40.1277
29,"73 Old Dublin Pike, Doylestown, PA 18901",-75.1316,40.32455
30,"900 Lion Rd, Ewing Township, NJ 08638",-74.782,40.27088
31,"9898 E Roosevelt Blvd #101, Philadelphia, PA 19115",-75.018,40.09447
